key,token
O=[P@]([O-])(O[P@@](=O)([O-])O)O[P+](=O)(=O)[O-],219
Nc1ccccn1,220
O=C1C=COCC1,221
Oc1ccc(Cl)c(O)c1,222
CC1(C)CC=CC(=O)C1,223
CC(C)C=O,224
C[C@@H]1[NH2+]C[C@@H](O)[C@H](O)[C@@H]1O,225
Oc1ccc(O)cc1,226
[NH3+][C@H](C=O)CO,227
SS,228
CCC[NH3+],229
C1=CCCC1,230
Fc1ccccc1Cl,231
C[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O,232
O[C@H]1CC[NH2+]C1,233
c1cocn1,234
O=[P@@]([O-])(O[P@@](=O)([O-])O)O[P+](=O)(=O)[O-],235
O[C@H]1CC[NH2+]C[C@@H]1O,236
O[C@@H]1CC[NH2+]C[C@H]1O,237
CC(F)F,238
O=C1NCCO1,239
[NH3+]C1CCCCC1,240
CCC[N@H+](C)NC(=O)CC(C)(C)C,241
O=C1C=CCCC1,242
O=C1NCC=C1O,243
OC1CCOCC1,244
O[C@H]1[C@H](O)C=CC[C@@H]1O,245
O[C@H]1C=COCC1,246
CCCC[NH3+],247
CC(C)CC(=O)[O-],248
C[C@H](O)CO,249
NS(N)(=O)=O,250
C[NH+]1CCCC1,251
O=[SH](=O)CCO,252
Fc1ccccc1F,253
O=C([O-])CCO,254
C1=CC1,255
Nc1cc[nH]c(=O)n1,256
O=c1[nH]cc(F)c(=O)[nH]1,257
O[C@@H]1[C@H](O)COC[C@@H]1O,258
CC(F)(F)F,259
C1=CNC=CC1,260
C[C@@H](C=O)CS,261
NC1=N[NH+]=CN1,262
CCC[C@H]([NH3+])C(=O)[O-],263
CCCCCCCC,264
O=C1C=CC(=O)C=C1,265
OC[C@@H](O)C[C@H](O)[C@@H](O)CO,266
CC1CCCC1=O,267
O[C@H]1CCCOC1,268
C1CNC1,269
c1ccnnc1,270
CC[C@@H](O)C[C@@H](O)CC(=O)[O-],271
O[C@@H]1CCC[C@@H](O)C1,272
C[C@@H]1CC1(Cl)Cl,273
CCC(C)CC,274
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],275
Nc1nccs1,276
Nc1ncc[nH]1,277
O=C1CCCCN1,278
Cn1ccc(=O)[nH]c1=O,279
C1=CCCN=C1,280
O=[P@@]([O-])(O[P@](=O)([O-])O)O[P+](=O)(=O)[O-],281
O[C@H]1CCO[C@@H](O)C1,282
CC1=NCCS1,283
O[C@@H]1C=C[C@@H](O)[C@H](O)C1,284
O[C@@H]1C[NH2+]C[C@H]1O,285
Cc1cccnc1,286
C1=CC=[NH+]C=C1,287
C[C@@H]([NH3+])[C@H](O)C=O,288
O=CCCC=O,289
O=CC(F)(F)F,290
C1=CCNCC1,291
O=C1CNC(=O)N1,292
O=c1ccocc1,293
C1CNCC[NH2+]C1,294
Cn1cccn1,295
Fc1cc(F)c(F)c(F)c1F,296
CC1=CCCCC1,297
C1=NCCCC1,298
Clc1ccccn1,299
CC(C)CC[C@@H](O)CC=O,300
C1=CN=CCN=C1,301
C1=COCC1,302
O=C1OC[C@H](O)[C@H](O)[C@H]1O,303
C1=COCCO1,304
C1=NNCC1,305
O=C1CCNC(=O)N1,306
c1ncon1,307
O=[P@]([O-])(O[P@](=O)([O-])O)O[P+](=O)(=O)[O-],308
c1nc[nH]n1,309
OC(F)(F)F,310
O=P1([O-])OCCCO1,311
O=[P@]([O-])(O)O[P@@](=O)([O-])O,312
O[C@@H]1[C@H](O)C=NC[C@H]1O,313
O=c1[nH]cc[nH]1,314
CC[P@H](=O)[O-],315
CC(C)[C@H]([NH3+])C=O,316
CC1CCC(=O)CC1,317
